#{"t_start": 1634011350.8532403, "env_id": null}
r,l,t
-0.1,9,322.107006
-0.1,1,322.107101
-0.1,1,322.107136
-0.1,2,322.107157
0.0,2,325.205992
-0.1,7,325.206098
-0.1,1,325.206133
-0.1,1,328.191246
0.0,4,328.19135
-0.1,3,328.19138
-0.1,5,328.191404
-0.1,1,330.551468
0.0,4,330.551554
-0.1,2,330.551581
-0.1,1,333.098563
-0.1,1,333.098672
0.0,4,333.098706
-0.1,1,336.270776
-0.1,4,336.270923
-0.1,3,336.270957
-0.1,3,336.270983
0.0,5,336.271008
-0.1,1,336.271031
-0.1,4,339.077188
-0.1,1,339.077311
-0.1,1,339.077346
-0.1,1,339.077374
0.0,6,339.077399
0.0,10,339.077424
-0.1,1,342.09291
-0.1,2,342.093024
-0.1,1,342.093101
-0.1,3,344.459028
-0.1,3,344.459144
-0.1,1,344.459299
0.0,2,344.459375
-0.1,3,347.620879
0.0,10,347.62099
-0.1,3,347.621024
-0.1,5,347.621051
-0.1,2,347.621074
-0.1,1,347.621098
-0.1,1,350.313551
-0.1,1,350.31368
-0.1,2,350.313716
0.0,7,350.313743
-0.1,1,352.764437
-0.1,4,352.764549
-0.1,1,352.764583
-0.1,5,358.296491
-0.1,4,358.296709
-0.1,2,358.296754
0.0,4,358.29678
0.0,5,361.11145
-0.1,1,361.111561
-0.1,5,361.111596
-0.1,4,361.111623
-0.1,4,364.31799
-0.1,1,364.31821
0.0,7,364.318255
-0.1,1,364.318285
-0.1,2,364.31831
-0.1,1,367.132663
-0.1,3,367.13278
-0.1,1,367.132816
1.0,6,367.132843
-0.1,2,367.132869
0.0,10,367.132894
-0.1,1,367.132919
-0.1,3,370.129014
-0.1,2,370.129125
-0.1,1,370.12917
-0.1,1,370.129199
-0.1,1,370.129225
-0.1,1,373.342688
-0.1,2,373.342773
-0.1,1,373.342798
0.0,3,376.123027
-0.1,1,376.123132
-0.1,1,376.123167
-0.1,1,376.123192
1.0,4,376.123216
-0.1,1,379.137711
-0.1,4,379.137798
-0.1,4,379.137832
-0.1,1,382.024334
-0.1,2,382.024496
-0.1,1,382.024532
0.0,2,382.02456
-0.1,4,382.024586
0.0,5,384.281063
-0.1,1,384.2812
-0.1,6,386.944813
-0.1,4,386.944921
0.0,4,386.944954
-0.1,12,386.944979
-0.1,3,390.060439
-0.1,2,390.060531
-0.1,3,390.060557
-0.1,1,390.060576
-0.1,1,390.060593
-0.1,1,390.060609
-0.1,3,392.931394
-0.1,1,392.931517
-0.1,4,392.931552
-0.1,1,392.93158
-0.1,1,392.931606
-0.1,12,392.931631
-0.1,1,395.528993
-0.1,1,395.529125
-0.1,1,395.529171
-0.1,2,397.96183
-0.1,1,397.962016
-0.1,3,397.962091
0.0,5,401.04822
-0.1,1,401.04835
0.0,4,403.557555
-0.1,1,403.557672
-0.1,10,406.077208
-0.1,5,406.077363
-0.1,2,406.077428
-0.1,1,408.684116
-0.1,1,408.68426
-0.1,2,411.128665
-0.1,1,411.128781
0.0,11,411.128813
0.0,5,411.128839
-0.1,1,414.237293
-0.1,1,414.237384
-0.1,1,414.237408
0.0,9,414.237427
-0.1,1,414.237445
-0.1,7,414.237461
-0.1,6,414.237477
-0.1,8,416.745642
-0.1,5,416.74575
-0.1,1,416.745782
-0.1,1,416.745808
-0.1,1,416.745833
-0.1,2,419.786883
-0.1,1,419.787037
-0.1,1,419.787113
-0.1,3,422.871605
-0.1,3,422.871719
-0.1,1,422.871752
-0.1,1,426.028277
-0.1,13,426.028389
-0.1,6,426.028422
-0.1,2,426.028448
0.0,5,428.427404
0.0,9,428.427516
-0.1,2,428.42755
-0.1,3,428.427578
-0.1,5,431.461412
0.0,2,431.46154
-0.1,2,431.461676
-0.1,1,431.461712
-0.1,6,434.148054
0.0,6,434.148162
0.0,4,434.148192
-0.1,2,434.148217
-0.1,1,434.148239
-0.1,1,436.746184
-0.1,4,436.746392
-0.1,2,439.834209
-0.1,2,439.83432
-0.1,2,439.834351
-0.1,1,439.834375
0.0,5,439.834399
-0.1,4,442.718266
-0.1,1,442.718389
-0.1,1,442.718423
-0.1,4,442.71845
-0.1,1,442.718475
-0.1,4,445.849785
-0.1,1,445.849892
0.0,6,445.849925
-0.1,1,448.207244
0.0,6,448.207343
-0.1,2,448.207371
-0.1,4,451.259038
-0.1,3,451.259159
-0.1,2,451.259193
-0.1,9,453.792715
-0.1,3,453.792808
-0.1,2,456.800807
-0.1,3,456.800918
-0.1,5,456.800952
-0.1,2,460.079363
-0.1,6,460.079458
-0.1,1,460.079483
-0.1,7,460.079502
