#{"t_start": 1633963716.4191632, "env_id": null}
r,l,t
-0.1,1,258.713258
-0.1,1,262.25051
-0.1,1,262.250627
-0.1,1,262.250661
-0.1,1,262.250688
-0.1,1,262.250713
-0.1,1,262.250737
-0.1,1,262.250761
-0.1,2,262.250785
-0.1,1,262.250809
-0.1,1,265.874008
-0.1,1,265.874127
-0.1,1,265.874161
-0.1,1,265.874188
-0.1,1,265.874212
-0.1,2,265.874235
-0.1,1,265.874259
-0.1,1,269.439828
0.0,4,269.439946
-0.1,1,269.439981
-0.1,1,269.440008
-0.1,1,269.440034
-0.1,2,269.440059
-0.1,1,269.440083
-0.1,1,269.440107
-0.1,2,269.44013
-0.1,1,269.440153
-0.1,1,273.190121
-0.1,1,273.190247
-0.1,1,273.190282
-0.1,4,273.19031
-0.1,1,273.190336
-0.1,1,273.19036
-0.1,1,273.190384
-0.1,1,273.190408
-0.1,1,276.610869
-0.1,1,276.610989
-0.1,1,276.611027
-0.1,2,276.611058
-0.1,1,276.611085
-0.1,4,276.611112
-0.1,1,276.611139
-0.1,2,276.611165
-0.1,1,276.61119
-0.1,2,276.611215
-0.1,1,280.347409
-0.1,1,280.347539
-0.1,1,280.347573
-0.1,1,280.347599
-0.1,2,280.347624
-0.1,1,280.347641
-0.1,1,280.347661
-0.1,2,280.347686
-0.1,2,284.052531
-0.1,1,284.052653
-0.1,2,284.052687
-0.1,1,284.052714
-0.1,1,284.052739
-0.1,1,284.052762
-0.1,1,284.052784
-0.1,2,284.052808
-0.1,1,287.723917
-0.1,2,287.724041
-0.1,1,287.724077
-0.1,1,287.724105
-0.1,2,287.72413
-0.1,1,287.724156
-0.1,2,287.72418
-0.1,1,290.78195
-0.1,2,290.782035
-0.1,1,290.78206
-0.1,2,290.782078
-0.1,4,290.782095
-0.1,2,290.782111
-0.1,1,290.782126
-0.1,1,294.436685
-0.1,2,294.436811
-0.1,3,294.436846
-0.1,1,294.436873
-0.1,2,294.436897
-0.1,2,294.43692
-0.1,1,294.436942
-0.1,1,294.436958
-0.1,1,298.00669
-0.1,1,298.006778
-0.1,2,298.006803
-0.1,1,298.006827
-0.1,1,298.00685
-0.1,1,298.006873
-0.1,2,298.006891
-0.1,1,298.00692
-0.1,3,298.006936
-0.1,1,301.602473
-0.1,2,301.602586
-0.1,1,301.602623
-0.1,1,301.602649
-0.1,1,301.602673
-0.1,1,301.602697
-0.1,2,304.623181
0.0,4,304.623314
-0.1,2,304.62335
-0.1,2,304.623377
-0.1,1,304.623401
-0.1,1,304.623425
-0.1,1,304.623448
1.0,2,304.623471
-0.1,2,307.920312
-0.1,1,307.920424
-0.1,1,307.92046
0.0,4,307.920487
-0.1,1,307.92051
-0.1,1,307.920533
-0.1,2,307.92055
0.0,3,311.485786
-0.1,1,311.485903
-0.1,2,311.485941
-0.1,1,311.485968
-0.1,1,311.485987
-0.1,1,314.647543
-0.1,1,314.647661
-0.1,1,314.647696
-0.1,2,314.647723
-0.1,3,314.647749
-0.1,1,318.179266
-0.1,3,318.179388
-0.1,2,318.179421
-0.1,2,318.179447
-0.1,3,318.179472
-0.1,4,318.179497
-0.1,1,321.928117
-0.1,2,321.928237
-0.1,1,321.928275
-0.1,1,321.928306
-0.1,2,321.928333
-0.1,4,321.928359
-0.1,2,321.928386
-0.1,1,325.690441
-0.1,2,325.690632
-0.1,2,325.690705
-0.1,6,325.690769
-0.1,1,325.690825
-0.1,1,325.690881
-0.1,1,325.690936
-0.1,3,325.69099
-0.1,2,325.691045
-0.1,2,329.32406
-0.1,1,329.324183
-0.1,1,329.324218
-0.1,1,329.324245
-0.1,2,329.32427
-0.1,1,329.324295
-0.1,1,329.324319
-0.1,1,329.324343
-0.1,2,329.324367
-0.1,1,333.015316
-0.1,1,333.015438
-0.1,1,333.015579
-0.1,1,333.015616
-0.1,1,333.015643
-0.1,2,333.015668
-0.1,1,333.015693
-0.1,1,333.015718
-0.1,1,333.015742
-0.1,2,333.015765
-0.1,2,333.015789
-0.1,1,336.084714
-0.1,1,336.084831
-0.1,1,336.084869
-0.1,1,336.084893
-0.1,1,336.084916
-0.1,1,336.084937
-0.1,1,336.084958
-0.1,1,336.084982
-0.1,1,336.084999
-0.1,1,336.085014
-0.1,1,339.758555
-0.1,1,339.758677
-0.1,3,339.758711
-0.1,1,339.758735
-0.1,1,339.758758
-0.1,2,339.758779
-0.1,1,339.7588
-0.1,1,339.758825
-0.1,1,339.758847
-0.1,1,343.391248
-0.1,1,343.391361
-0.1,2,343.391397
-0.1,1,343.391426
-0.1,1,343.391451
-0.1,2,346.888246
-0.1,2,346.888386
-0.1,1,346.888426
-0.1,1,346.888452
-0.1,3,346.888476
-0.1,1,346.888497
1.0,2,346.888512
-0.1,1,346.888528
-0.1,1,346.888543
-0.1,2,346.888558
-0.1,1,350.279032
-0.1,1,350.279152
-0.1,1,350.27919
-0.1,1,350.279221
0.0,3,350.279261
-0.1,1,350.279288
-0.1,1,350.279316
0.0,4,350.279342
-0.1,1,353.356921
-0.1,2,353.357042
-0.1,2,353.357077
-0.1,1,353.357104
-0.1,2,353.357128
-0.1,2,353.357152
-0.1,2,356.982344
-0.1,2,356.982469
-0.1,2,356.982508
-0.1,2,356.98254
-0.1,2,356.982569
-0.1,1,356.982597
-0.1,1,356.982623
-0.1,1,356.982649
-0.1,1,360.564123
-0.1,2,360.564243
-0.1,2,360.564279
-0.1,1,360.564306
-0.1,1,360.564332
-0.1,1,360.564357
-0.1,1,360.56438
-0.1,2,360.564405
-0.1,1,360.564429
-0.1,1,364.185365
-0.1,1,364.185488
-0.1,1,364.185525
-0.1,1,364.185552
-0.1,1,364.185578
-0.1,1,364.185603
0.0,4,364.185627
-0.1,2,364.185651
-0.1,1,367.709414
1.0,2,367.70953
-0.1,2,367.709566
-0.1,2,367.709595
-0.1,3,367.709622
-0.1,1,367.709647
-0.1,1,371.319285
-0.1,1,371.319404
-0.1,1,371.319439
-0.1,1,371.319467
-0.1,2,371.319492
-0.1,2,371.319517
-0.1,1,371.319542
-0.1,2,371.319566
-0.1,2,371.31959
-0.1,1,374.964077
-0.1,1,374.964201
-0.1,1,374.964238
-0.1,3,374.964265
-0.1,1,374.96429
-0.1,1,374.964316
-0.1,3,374.964341
-0.1,2,374.964365
-0.1,1,374.964389
-0.1,1,378.464547
-0.1,1,378.464653
-0.1,1,378.46469
-0.1,1,378.464712
-0.1,1,378.464729
-0.1,2,378.464744
-0.1,1,378.464759
-0.1,1,378.464776
-0.1,1,382.091285
-0.1,1,382.091407
-0.1,2,382.091442
-0.1,1,382.091467
-0.1,1,382.091484
-0.1,2,382.0915
-0.1,1,382.091516
-0.1,1,385.558644
-0.1,2,385.558767
-0.1,1,385.558803
-0.1,1,385.558831
-0.1,1,385.558857
-0.1,2,385.558882
-0.1,1,385.558906
-0.1,1,388.696224
-0.1,1,388.696373
-0.1,2,388.696412
-0.1,2,388.696439
-0.1,5,388.696458
-0.1,5,388.696474
-0.1,1,388.696489
-0.1,2,392.248554
-0.1,4,392.248674
